Student ID,Passed All Modules,Level 5 Weighted Avg (%),Level 6 Weighted Avg (%),Final Aggregate Mark (%),Degree Classification
000,Yes,79.0,60.88,65.41,Second Class (Upper Division) - 2:1
001,Yes,73.0,68.0,69.25,Second Class (Upper Division) - 2:1
002,Yes,72.83,63.5,65.83,Second Class (Upper Division) - 2:1
003,Yes,71.0,63.5,65.38,Second Class (Upper Division) - 2:1
004,Yes,70.83,65.25,66.65,Second Class (Upper Division) - 2:1
005,Yes,66.33,65.88,65.99,Second Class (Upper Division) - 2:1
006,Yes,81.17,63.38,67.82,Second Class (Upper Division) - 2:1
007,Yes,77.33,74.62,75.3,First Class
008,Yes,75.0,56.88,61.41,Second Class (Upper Division) - 2:1
009,Yes,63.5,62.88,63.03,Second Class (Upper Division) - 2:1
010,Yes,72.67,64.0,66.17,Second Class (Upper Division) - 2:1
011,Yes,63.17,64.5,64.17,Second Class (Upper Division) - 2:1
012,Yes,64.83,58.0,59.71,Second Class (Lower Division) - 2:2
013,Yes,66.5,59.88,61.53,Second Class (Upper Division) - 2:1
014,Yes,73.17,75.12,74.64,First Class
015,Yes,68.0,61.75,63.31,Second Class (Upper Division) - 2:1
016,Yes,64.17,52.25,55.23,Second Class (Lower Division) - 2:2
017,Yes,67.5,59.75,61.69,Second Class (Upper Division) - 2:1
018,Yes,66.67,59.0,60.92,Second Class (Upper Division) - 2:1
019,Yes,70.5,66.75,67.69,Second Class (Upper Division) - 2:1
020,Yes,78.67,65.62,68.89,Second Class (Upper Division) - 2:1
021,Yes,77.67,60.75,64.98,Second Class (Upper Division) - 2:1
022,Yes,69.0,60.62,62.72,Second Class (Upper Division) - 2:1
023,Yes,66.5,66.0,66.12,Second Class (Upper Division) - 2:1
024,Yes,64.17,57.38,59.07,Second Class (Lower Division) - 2:2
025,Yes,56.17,64.88,62.7,Second Class (Upper Division) - 2:1
026,Yes,57.83,63.25,61.9,Second Class (Upper Division) - 2:1
027,Yes,71.67,67.88,68.82,Second Class (Upper Division) - 2:1
